price_ref,mid,bid,ask,inventory,cash,equity,reason
115073.3,115075.825,,,0.0,0.0,0.0,risk_block
115124.71,115099.0,,,0.0,0.0,0.0,risk_block
115129.62,115127.16500000001,,,0.0,0.0,0.0,risk_block
115129.62,115129.625,,,0.0,0.0,0.0,risk_block
115129.62,115129.625,,,0.0,0.0,0.0,risk_block
115073.38,115101.5,,,0.0,0.0,0.0,risk_block
115067.36,115062.3,,,0.0,0.0,0.0,risk_block
115073.38,115070.365,,,0.0,0.0,0.0,risk_block
115073.37,115073.37,,,0.0,0.0,0.0,risk_block
115051.07,115054.23999999999,,,0.0,0.0,0.0,risk_block
115059.62,115055.35,,,0.0,0.0,0.0,risk_block
115101.82,115080.72,,,0.0,0.0,0.0,risk_block
115080.76,115091.285,,,0.0,0.0,0.0,risk_block
115080.75,115080.755,,,0.0,0.0,0.0,risk_block
115080.76,115080.755,,,0.0,0.0,0.0,risk_block
115080.76,115080.755,,,0.0,0.0,0.0,risk_block
115080.76,115080.755,,,0.0,0.0,0.0,risk_block
115080.72,115080.735,,,0.0,0.0,0.0,risk_block
115080.51,115080.61499999999,,,0.0,0.0,0.0,risk_block
115109.21,115094.86499999999,,,0.0,0.0,0.0,risk_block
115109.21,115109.215,,,0.0,0.0,0.0,risk_block
115136.29,115123.125,,,0.0,0.0,0.0,risk_block
115154.93,115145.60999999999,,,0.0,0.0,0.0,risk_block
115190.29,115172.605,,,0.0,0.0,0.0,risk_block
115185.02,115187.655,,,0.0,0.0,0.0,risk_block
115142.95,115163.985,,,0.0,0.0,0.0,risk_block
115180.0,115161.47,,,0.0,0.0,0.0,risk_block
115170.0,115175.0,,,0.0,0.0,0.0,risk_block
115170.01,115170.005,,,0.0,0.0,0.0,risk_block
115174.0,115172.0,,,0.0,0.0,0.0,risk_block
115165.0,115169.5,,,0.0,0.0,0.0,risk_block
115136.29,115150.65,,,0.0,0.0,0.0,risk_block
115115.44,115125.86499999999,,,0.0,0.0,0.0,risk_block
115131.35,115123.39499999999,,,0.0,0.0,0.0,risk_block
115145.76,115138.56,,,0.0,0.0,0.0,risk_block
115145.77,115145.765,,,0.0,0.0,0.0,risk_block
115145.76,115145.765,,,0.0,0.0,0.0,risk_block
115145.77,115145.765,,,0.0,0.0,0.0,risk_block
115173.85,115159.815,,,0.0,0.0,0.0,risk_block
115173.85,115173.85500000001,,,0.0,0.0,0.0,risk_block
115140.48,115157.16500000001,,,0.0,0.0,0.0,risk_block
115134.65,115137.565,,,0.0,0.0,0.0,risk_block
115129.44,115132.045,,,0.0,0.0,0.0,risk_block
115129.44,115129.435,,,0.0,0.0,0.0,risk_block
115126.73,115128.08499999999,,,0.0,0.0,0.0,risk_block
115126.74,115126.735,,,0.0,0.0,0.0,risk_block
115126.74,115126.735,,,0.0,0.0,0.0,risk_block
115113.73,115120.23000000001,,,0.0,0.0,0.0,risk_block
115113.72,115113.725,,,0.0,0.0,0.0,risk_block
115113.73,115113.725,,,0.0,0.0,0.0,risk_block
115113.72,115113.725,,,0.0,0.0,0.0,risk_block
115115.55,115114.63500000001,,,0.0,0.0,0.0,risk_block
115083.08,115096.95000000001,,,0.0,0.0,0.0,risk_block
115056.32,115069.705,,,0.0,0.0,0.0,risk_block
115056.32,115056.32500000001,,,0.0,0.0,0.0,risk_block
115056.32,115056.32500000001,,,0.0,0.0,0.0,risk_block
115051.33,115053.82500000001,,,0.0,0.0,0.0,risk_block
115056.33,115053.82500000001,,,0.0,0.0,0.0,risk_block
115056.33,115056.32500000001,,,0.0,0.0,0.0,risk_block
115085.8,115071.065,,,0.0,0.0,0.0,risk_block
115134.8,115110.305,,,0.0,0.0,0.0,risk_block
115132.7,115114.485,,,0.0,0.0,0.0,risk_block
115089.4,115111.055,,,0.0,0.0,0.0,risk_block
115089.4,115089.4,,,0.0,0.0,0.0,risk_block
115089.39,115089.39499999999,,,0.0,0.0,0.0,risk_block
115078.0,115081.43,,,0.0,0.0,0.0,risk_block
115077.99,115077.995,,,0.0,0.0,0.0,risk_block
115077.99,115077.995,,,0.0,0.0,0.0,risk_block
115090.0,115083.995,,,0.0,0.0,0.0,risk_block
